CODIGO;DESCRICAO
001149;ASPIRINA C 50 ENV X 2 COMP EFV
008198;NIFELAT 20+50MG CX 28 CAP
019041;XATRAL 2,5MG CX 30 COMP
000008;A CURITYBINA PASTA CX 12 POTES X 13G
000098;DORSTOP 100MG CX 20 STR X 10 COMP
000099;DORSTOP 500MG CX 20 STR X 10 COMP
000044;ACETICIL INF CX 20 ENV X 10 COMP
000045;ACETICIL ADU CX 50 ENV X 10 COMP
000052;ACETOFEN SOL FR 10ML
000054;ACFOL 5MG CX 40 COMP
000055;ACFOL SOL GTS FR 10ML
000075;ACIDEX CX 20 COMP
000076;ACIDEX SUS ORAL FR 150ML
000110;HIPOTERMAL 500MG DISPLAY 200 COMP
001340;BACIGEN POM BG 20G
001349;BACTERINIL 500MG CX 8 CAP
001350;BACTERINIL 500MG CX 12 CAP
000146;ACTICALCIN 100UI CX 5 AMP X 1ML
000144;ACTICALCIN 50UI CX 5 AMP X 1ML
000147;ACTICALCIN 50UI SPRAY NAS FR 16 DOS
001366;BACTRIM CX 20 COMP
000149;ACTIFEDRIN 2,5MG CX 20 COMP
000150;ACTIFEDRIN XPE FR 100ML
001370;BACTRIM INJ IV CX 50 AMP X 5ML HOSP
001368;BACTRIM SUS PED FR 100ML
000173;ADEGRIP CX 20 DRG
000176;ADELFAN ESIDREX 0,1+10+10MG CX 20 COMP
000179;ADERMYKON-C SOL FR 10 ML
001367;BACTRIM F CX 10 COMP
001369;BACTRIM F SUS FR 100ML
000182;ADEROGIL D3 5500+2200UI SOL GTS ORAL FR 10ML
000181;ADEROGIL D3 4400/22000UI SOL OR 3AMP X3ML
001371;BACTRISAN 400+80MG CX 20 COMP
000180;ADEROGIL D3 4400/22000UI SOL OR 50AMP X3ML
001372;BACTRISAN PED FR X 50ML
000185;ADNAX SOL ADU FR 20ML
000202;AEROFLUX SOL EDUL FR 120ML
000216;AEROLIN SOL INJ CX 5 AMP X 1ML
000207;AEROLIN 2MG CX 20 COMP
000208;AEROLIN 4MG CX 20 COMP
001383;BALCOR 90MG CX 20 CAP RET
000217;AEROTIDE SPRAY FR 200 DOS
001384;BALCOR 120MG CX 20 CAP RET
000219;AEROTRAT XPE FR 100ML
001385;BALCOR 180MG CX 20 CAP RET
001387;BALCOR 30MG CX 20 COMP RET
001388;BALCOR 30MG CX 50 COMP RET
001389;BALCOR 60MG CX 24 COMP RET
000237;AGASTEN 1MG CX 15 COMP
000238;AGASTEN 0,05MG XPE FR 120ML
000242;AGILISIN SOL TOP FR 50ML
000253;AGREAL 100MG CX 20 CAP
001403;BALUROL 400MG CX 20 CAP
